RN;SAT;Regi„o;UF;Latitude;Longitude;Altitude Normal (HN);Altitude Geometrica (h);Dif. Altitudes SAT-RN (h-HN);Fator de Conversao hgeoHNOR2020 ;Incerteza hgeoHNOR2020 ;Residuos
  2315L;96195;SUDESTE;MG;-16,5651476;-45,9881624;661,7118;648,251;-13,46;-13,5;0,07;0,03
  2317L;96196;SUDESTE;MG;-16,8306603;-45,5220234;614,7736;600,934;-13,84;-13,88;0,07;0,04
  2317Z;96197;SUDESTE;MG;-16,6952868;-45,4130999;520,0841;506,107;-13,98;-13,95;0,07;-0,03
  2315X;96198;SUDESTE;MG;-16,710876;-46,0452779;758,7674;745,316;-13,45;-13,51;0,07;0,06
  1181N;96199;SUDESTE;MG;-14,8928668;-43,8263905;448,3532;435,046;-13,31;-13,39;0,09;0,08
  1299U;96204;SUDESTE;MG;-16,6636409;-45,0952486;512,5337;498,678;-13,86;-13,8;0,07;-0,06
  2280F;96205;SUDESTE;MG;-16,5708945;-44,879206;625,3998;612,018;-13,38;-13,47;0,07;0,08
  1162M;96206;SUDESTE;MG;-15,6023422;-42,5286708;780,7389;769,254;-11,48;-11,54;0,09;0,05
  2356S;96207;SUDESTE;MG;-14,692858;-44,8008314;668,1029;655,58;-12,52;-12,48;0,08;-0,04
  2279V;96208;SUDESTE;MG;-15,5014832;-44,6679809;610,325;597,532;-12,79;-12,85;0,07;0,05
  1152R;96209;SUDESTE;MG;-16,4841377;-41,0259017;266,3255;257,545;-8,78;-8,75;0,07;-0,03
  2334L;96210;SUDESTE;MG;-15,7793924;-45,2344973;556,1743;543,028;-13,15;-13,13;0,07;-0,02
  1175A;96211;SUDESTE;MG;-16,20708;-45,0416454;472,1475;458,503;-13,64;-13,59;0,07;-0,06
  2282M;96212;SUDESTE;MG;-15,5053911;-45,3958059;613,8456;601,143;-12,7;-12,72;0,07;0,02
  2374U;96213;SUDESTE;MG;-16,3021435;-44,7486341;623,9449;611,162;-12,78;-12,81;0,06;0,03
  1141A;96214;SUDESTE;MG;-16,5357349;-41,3652057;248,1267;238,548;-9,58;-9,53;0,08;-0,04
  2354D;96215;SUDESTE;MG;-15,6474853;-44,3994643;490,2453;477,572;-12,67;-12,67;0,07;0
  2350S;96216;SUDESTE;MG;-15,9034243;-44,3039742;781,1794;768,785;-12,39;-12,41;0,07;0,02
  1166R;96217;SUDESTE;MG;-18,0821907;-42,9194387;909,1008;898,955;-10,15;-10,19;0,09;0,05
  2283G;96218;SUDESTE;MG;-15,3044364;-45,6488167;837,5491;824,998;-12,55;-12,54;0,08;-0,01
  3304N;96219;SUDESTE;MG;-21,2323512;-43,4101183;579,2446;574,268;-4,98;-4,95;0,08;-0,03
  2347X;96220;SUDESTE;MG;-16,1049305;-44,6025985;733,8716;721,397;-12,47;-12,53;0,06;0,06
  2369M;96221;SUDESTE;MG;-16,5419621;-44,363434;794,4456;782,044;-12,4;-12,43;0,07;0,02
  2348N;96222;SUDESTE;MG;-16,2967402;-44,1477475;780,1126;767,815;-12,3;-12,3;0,07;0
  1151L;96223;SUDESTE;MG;-16,9011613;-40,9281158;326,1243;317,662;-8,46;-8,55;0,08;0,08
  1153F;96224;SUDESTE;MG;-17,2831616;-40,9313089;261,3305;252,302;-9,03;-9,01;0,08;-0,02
    89F;96227;SUDESTE;MG;-20,3878489;-44,3499067;911,3164;906,6;-4,72;-4,59;0,09;-0,13
  2170X;96231;SUDESTE;MG;-18,9475626;-49,7666908;527,9419;519,983;-7,96;-8;0,08;0,04
  2172C;96232;SUDESTE;MG;-18,9075818;-50,2095614;469,6157;461,897;-7,72;-7,68;0,08;-0,04
  3216N;96235;SUDESTE;MG;-18,8072714;-48,5753449;854,6342;843,367;-11,27;-11,33;0,07;0,06
   112N;96237;SUDESTE;MG;-21,8813096;-45,0841758;873,297;870,275;-3,02;-3,11;0,07;0,09
   634S;96238;SUDESTE;MG;-19,7876377;-45,2117266;817,5622;809,527;-8,04;-8,08;0,09;0,04
    81T;96241;SUDESTE;MG;-19,422444;-45,8390098;894,4436;885,684;-8,76;-8,78;0,09;0,02
  2804Z;96242;SUDESTE;MG;-21,8407217;-45,5175245;871,2742;867,969;-3,31;-3,18;0,07;-0,12
  2803L;96243;SUDESTE;MG;-22,2414191;-45,8823276;824,043;821,207;-2,84;-2,85;0,07;0,01
  1996N;96244;SUDESTE;MG;-22,4636082;-45,640787;898,1514;895,799;-2,35;-2,36;0,07;0,01
  1998G;96245;SUDESTE;MG;-22,8491812;-46,3214978;881,0427;878,57;-2,47;-2,56;0,08;0,09
  2809F;96246;SUDESTE;MG;-22,2551683;-45,711036;821,864;819,285;-2,58;-2,76;0,07;0,18
    83Q;96248;SUDESTE;MG;-19,1629028;-45,2232827;758,9578;749,221;-9,74;-9,79;0,09;0,05
   170S;96251;SUDESTE;MG;-19,5658216;-41,3676652;182,2106;173;-9,21;-8,83;0,09;-0,38
   149O;96252;SUDESTE;MG;-19,8743152;-41,7745366;499,5678;492,033;-7,53;-7,59;0,09;0,06
  1133F;96253;SUDESTE;MG;-19,0519222;-42,1448593;188,8417;177,418;-11,42;-11,24;0,09;-0,18
  3316X;96255;SUDESTE;MG;-21,4675607;-45,9459534;906,5205;902,668;-3,85;-3,93;0,07;0,07
  3301L;96258;SUDESTE;MG;-21,2428986;-44,5121947;1029,6168;1026,1;-3,52;-3,57;0,07;0,06
  3301U;96259;SUDESTE;MG;-21,2287792;-44,375841;1008,2594;1005,028;-3,23;-3,3;0,07;0,07
  3302Z;96260;SUDESTE;MG;-21,1748897;-43,9725096;925,3495;922,002;-3,35;-3,42;0,08;0,07
  3318P;96261;SUDESTE;MG;-21,2737762;-46,1433734;831,2676;826,612;-4,66;-4,71;0,07;0,05
  3313L;96262;SUDESTE;MG;-21,5618534;-46,3998305;960,2229;956,445;-3,78;-3,8;0,07;0,02
  2168J;96314;SUDESTE;MG;-18,8513217;-48,792481;840,7847;829,53;-11,25;-11,2;0,07;-0,05
   645G;96315;SUDESTE;MG;-19,5075154;-49,4689217;525,4087;517,676;-7,73;-7,77;0,08;0,03
  2178H;96316;SUDESTE;MG;-19,7270904;-50,2407673;428,1486;419,909;-8,24;-8,18;0,08;-0,06
  2177L;96317;SUDESTE;MG;-19,8066863;-49,919721;450,8332;442,78;-8,05;-8,03;0,07;-0,02
  2164R;96320;SUDESTE;MG;-19,2879893;-47,6186608;926,0083;916,66;-9,35;-9,35;0,07;0
   656T;96321;SUDESTE;MG;-19,6995209;-47,0364498;1250,5157;1242,946;-7,57;-7,75;0,08;0,18
  2165V;96322;SUDESTE;MG;-19,1868309;-47,8726841;902,9243;893,214;-9,71;-9,7;0,07;-0,01
   635U;96323;SUDESTE;MG;-18,5138638;-47,4072336;757,5018;747,169;-10,33;-10,32;0,08;-0,02
   620E;96340;SUDESTE;MG;-17,7407371;-46,1741388;765,9921;753,899;-12,09;-12,21;0,08;0,11
   610G;96341;SUDESTE;MG;-18,4698785;-47,2025528;904,6876;894,538;-10,15;-10,24;0,08;0,09
  1165T;96342;SUDESTE;MG;-16,6827553;-42,4678469;334,4836;322,68;-11,8;-11,76;0,09;-0,04
   668Z;96343;SUDESTE;MG;-16,732908;-43,8464123;661,8062;649,593;-12,21;-12,23;0,08;0,02
   122V;96344;SUDESTE;MG;-19,8855799;-43,8005082;707,7497;701,065;-6,68;-6,73;0,09;0,05
  2994A;91500;SUDESTE;RJ;-22,8191022;-43,3066533;04,6103;-1,461;-6,07;-5,98;0,05;-0,09
  2994B;91513;SUDESTE;RJ;-22,8191546;-43,3065724;03,4603;-2,6;-6,06;-5,98;0,05;-0,08
  3121A;91720;SUDESTE;RJ;-22,8178444;-43,3062766;14,6296;08,630;-6;-5,98;0,05;-0,02
  3088S;91783;SUDESTE;RJ;-22,9784683;-42,0202613;07,1432;01,270;-5,87;-5,81;0,06;-0,07
  3051G;91819;SUDESTE;RJ;-22,5104396;-44,6362521;467,5798;464,083;-3,5;-3,48;0,05;-0,02
  2820G;91820;SUDESTE;RJ;-23,1948156;-44,7281424;04,9878;00,257;-4,73;-4,64;0,08;-0,09
  3068S;91821;SUDESTE;RJ;-22,9666781;-44,044784;05,0646;-0,262;-5,33;-4,99;0,08;-0,33
  2811J;91822;SUDESTE;RJ;-22,5049266;-44,6001948;442,5119;438,895;-3,62;-3,55;0,05;-0,06
  1021C;91823;SUDESTE;RJ;-22,7040336;-44,0959988;411,2997;406,851;-4,45;-4,48;0,06;0,03
  3017S;91824;SUDESTE;RJ;-22,4559617;-44,3943458;405,7945;401,715;-4,08;-4,03;0,06;-0,05
  1000N;91825;SUDESTE;RJ;-22,6055258;-43,9354219;474,2439;469,489;-4,75;-4,81;0,05;0,05
  2814B;91826;SUDESTE;RJ;-22,4497006;-44,3184273;421,9643;417,745;-4,22;-4,2;0,06;-0,02
  2814U;91827;SUDESTE;RJ;-22,5523662;-44,0681124;456,8881;452,089;-4,8;-4,68;0,05;-0,12
  2821S;91828;SUDESTE;RJ;-22,5275333;-43,7217355;422,3384;417,349;-4,99;-5,01;0,06;0,02
  2822M;91829;SUDESTE;RJ;-22,6387525;-43,6656212;40,5534;35,015;-5,54;-5,51;0,05;-0,03
  2820S;91830;SUDESTE;RJ;-22,6406837;-43,7130728;40,1829;34,698;-5,48;-5,43;0,05;-0,06
  2824M;91866;SUDESTE;RJ;-22,1966026;-43,3155047;328,0348;323,273;-4,76;-4,77;0,06;0,01
  1003L;91867;SUDESTE;RJ;-22,1249159;-43,228991;279,0801;274,141;-4,94;-4,86;0,06;-0,08
  2842F;91868;SUDESTE;RJ;-21,938304;-42,5962143;287,8538;282,085;-5,77;-5,79;0,07;0,02
  2823E;91869;SUDESTE;RJ;-22,4941699;-43,5208131;494,9074;490,057;-4,85;-4,96;0,06;0,11
  1014E;91870;SUDESTE;RJ;-22,4134916;-43,1401147;686,1374;681,703;-4,43;-4,67;0,06;0,24
  3002S;91885;SUDESTE;RJ;-21,8441414;-42,5785575;140,7252;134,542;-6,18;-6,15;0,07;-0,03
  3086H;91888;SUDESTE;RJ;-22,3695553;-41,7845022;06,8678;00,056;-6,81;-6,8;0,05;-0,01
  1005U;91953;SUDESTE;RJ;-22,5596033;-42,8616097;12,1025;06,083;-6,02;-5,94;0,06;-0,08
  2833P;91954;SUDESTE;RJ;-21,9206241;-42,1574956;198,4334;192,048;-6,39;-6,37;0,06;-0,02
  2849X;91955;SUDESTE;RJ;-21,7219195;-41,9422151;87,1561;80,275;-6,88;-6,86;0,06;-0,02
  4001L;91956;SUDESTE;RJ;-21,6534772;-41,7407452;41,8142;34,886;-6,93;-6,98;0,06;0,06
  1029D;91957;SUDESTE;RJ;-21,1267923;-41,9320142;144,9851;137,966;-7,02;-7,04;0,07;0,02
  2830F;91958;SUDESTE;RJ;-22,1019283;-41,4521838;08,3029;01,520;-6,78;-6,75;0,07;-0,03
  2848C;91959;SUDESTE;RJ;-22,0139063;-40,9970758;03,2158;-2,893;-6,11;-6,23;0,08;0,12
  4003P;91960;SUDESTE;RJ;-21,4773589;-41,1138355;09,8165;02,975;-6,84;-6,81;0,07;-0,03
  2829G;91961;SUDESTE;RJ;-22,2759269;-41,70581;09,7671;02,928;-6,84;-6,82;0,06;-0,02
  2828N;91962;SUDESTE;RJ;-22,4758039;-41,8944387;08,4852;01,682;-6,8;-6,74;0,05;-0,07
  2844P;91963;SUDESTE;RJ;-22,0823316;-42,0695316;694,5012;688,649;-5,85;-5,92;0,06;0,07
  2826S;91964;SUDESTE;RJ;-22,4662465;-42,0717004;17,5032;10,943;-6,56;-6,47;0,05;-0,09
  3013G;91965;SUDESTE;RJ;-22,8858893;-42,4763552;13,1881;06,958;-6,23;-6,24;0,05;0,01
  2825H;91966;SUDESTE;RJ;-22,6917953;-42,5470085;52,1041;45,667;-6,44;-6,4;0,05;-0,04
  3013U;91967;SUDESTE;RJ;-22,8654856;-42,3152334;17,6148;11,405;-6,21;-6,14;0,05;-0,07
  2825Z;91968;SUDESTE;RJ;-22,5190383;-42,342233;21,1306;14,911;-6,22;-6,13;0,06;-0,09
  1013A;91969;SUDESTE;RJ;-22,8469856;-42,1858095;06,1169;-0,042;-6,16;-6,1;0,05;-0,06
  3073D;91970;SUDESTE;RJ;-22,7744833;-41,9305506;02,8971;-3,279;-6,18;-6,15;0,05;-0,03
  3336C;92955;SUDESTE;RJ;-22,9646069;-42,8697502;07,2391;01,026;-6,21;-6,24;0,05;0,02
  3338X;92956;SUDESTE;RJ;-22,9665154;-43,0474734;08,2769;02,201;-6,08;-6,12;0,05;0,04
  3336X;92957;SUDESTE;RJ;-22,9548256;-42,7028078;04,2174;-1,975;-6,19;-6,24;0,05;0,05
  3333X;92958;SUDESTE;RJ;-22,9346858;-42,6238898;06,1916;00,044;-6,15;-6,13;0,05;-0,01
  3337F;92959;SUDESTE;RJ;-22,9690651;-42,9833945;07,6704;01,529;-6,14;-6,21;0,05;0,06
  3333L;92960;SUDESTE;RJ;-22,9332518;-42,5071982;07,0662;00,932;-6,13;-6,17;0,05;0,04
  3332B;92961;SUDESTE;RJ;-22,9344894;-42,3682706;07,5248;01,490;-6,03;-6,06;0,05;0,02
  3336N;92962;SUDESTE;RJ;-22,9564139;-42,7804774;02,6057;-3,629;-6,23;-6,26;0,05;0,02
  3091R;92963;SUDESTE;RJ;-22,8565366;-43,1030419;02,8454;-3,348;-6,19;-6,17;0,05;-0,03
  3329U;92964;SUDESTE;RJ;-22,9301715;-42,2285179;07,6483;01,712;-5,94;-5,99;0,05;0,05
  3329J;92965;SUDESTE;RJ;-22,9440427;-42,1266524;03,2193;-2,637;-5,86;-5,9;0,05;0,04
  2994L;93518;SUDESTE;RJ;-22,883143;-43,1347289;01,9167;-4,219;-6,14;-6,14;0,05;0
  9022D;93519;SUDESTE;RJ;-22,3891152;-41,7706803;05,5569;-1,215;-6,77;-6,79;0,05;0,02
  2994G;93689;SUDESTE;RJ;-22,3890127;-41,7707864;05,5836;-1,196;-6,78;-6,79;0,05;0,01
  9022E;93690;SUDESTE;RJ;-22,3868436;-41,7693948;04,7557;-2,036;-6,79;-6,79;0,05;0
  3099C;93915;SUDESTE;RJ;-22,8465712;-43,2364323;05,5224;-0,549;-6,07;-6,01;0,05;-0,06
  3100T;93916;SUDESTE;RJ;-22,8236794;-43,231536;04,2861;-1,784;-6,07;-6,02;0,05;-0,05
  1006U;93955;SUDESTE;RJ;-22,6456087;-43,0701931;05,6430;-0,311;-5,95;-5,87;0,05;-0,08
  4010B;93966;SUDESTE;RJ;-21,2003954;-41,7159273;140,9065;133,872;-7,03;-7;0,07;-0,03
  3091B;93967;SUDESTE;RJ;-22,7715162;-42,9285341;17,2394;10,816;-6,42;-6,37;0,05;-0,06
  2835G;93968;SUDESTE;RJ;-22,2449164;-42,9159659;712,8799;708,38;-4,5;-4,63;0,06;0,13
  3017D;96045;SUDESTE;RJ;-22,4964825;-44,6605134;465,9653;462,577;-3,39;-3,39;0,06;0
  2994X;96099;SUDESTE;RJ;-22,9223591;-43,0947502;04,4723;-1,641;-6,11;-6,13;0,05;0,01
  1025C;96126;SUDESTE;RJ;-21,4930416;-41,6146152;22,8897;15,567;-7,32;-7,18;0,06;-0,14
  3010E;96159;SUDESTE;RJ;-22,9267725;-42,9240315;14,8204;08,583;-6,24;-6,29;0,05;0,05
  1008S;96162;SUDESTE;RJ;-22,8057794;-42,9810757;28,1618;21,774;-6,39;-6,34;0,05;-0,05
  3086M;96186;SUDESTE;RJ;-22,3854806;-41,7707501;02,8999;-3,885;-6,78;-6,79;0,05;0,01
  3086U;96187;SUDESTE;RJ;-22,3858962;-41,7695291;03,3884;-3,408;-6,8;-6,79;0,05;-0,01
  3128P;96188;SUDESTE;RJ;-22,3857566;-41,7694381;03,2795;-3,517;-6,8;-6,79;0,05;-0,01
  3324B;96346;SUDESTE;RJ;-22,2306254;-41,778008;26,1417;19,406;-6,74;-6,78;0,05;0,04
  3324L;96347;SUDESTE;RJ;-22,3015488;-41,7230877;09,5652;02,797;-6,77;-6,81;0,05;0,04
  3326N;96348;SUDESTE;RJ;-22,3925365;-41,778282;08,2351;01,489;-6,75;-6,8;0,05;0,05
  3327Z;96349;SUDESTE;RJ;-22,4911055;-41,9149671;09,3268;02,634;-6,69;-6,72;0,05;0,03
  3328M;96350;SUDESTE;RJ;-22,5895285;-41,9937954;02,5395;-4,06;-6,6;-6,61;0,05;0,01
  3137S;96351;SUDESTE;RJ;-22,6561273;-41,9990294;02,9053;-3,6;-6,51;-6,55;0,05;0,05
  3138B;96352;SUDESTE;RJ;-22,7170826;-42,0192771;03,2277;-3,147;-6,37;-6,4;0,05;0,02
  3134Z;96353;SUDESTE;RJ;-22,7841078;-41,9771028;04,8268;-1,299;-6,13;-6,12;0,05;-0,01
  3133U;96354;SUDESTE;RJ;-22,8250084;-42,0029427;07,9933;01,959;-6,03;-6,04;0,05;0
  3132P;96355;SUDESTE;RJ;-22,9085675;-42,0344038;03,1783;-2,717;-5,9;-5,92;0,05;0,03
  3132D;96356;SUDESTE;RJ;-22,9515822;-42,0440003;07,6163;01,783;-5,83;-5,86;0,05;0,03
  9501D;90751;SUDESTE;SP;-22,6942382;-45,1397548;578,2894;574,942;-3,35;-3,33;0,06;-0,02
  9501C;90764;SUDESTE;SP;-23,5665728;-46,7325846;790,9201;787,773;-3,15;-3,14;0,07;-0,01
  4038N;91351;SUDESTE;SP;-21,0858124;-48,4033954;603,5128;596,282;-7,23;-7,26;0,06;0,03
  4039B;91352;SUDESTE;SP;-20,9328399;-48,4721842;565,4247;558,083;-7,34;-7,39;0,06;0,05
  4039S;91353;SUDESTE;SP;-20,7212416;-48,5363156;588,5254;580,891;-7,63;-7,64;0,06;0
  3035R;91355;SUDESTE;SP;-20,2623761;-48,674872;465,362;457,099;-8,26;-8,18;0,06;-0,08
  3124A;91507;SUDESTE;SP;-23,2134842;-45,8605913;625,848;622,525;-3,32;-3,37;0,06;0,04
  3111T;91550;SUDESTE;SP;-21,9505266;-50,9414528;326,7462;320,436;-6,31;-6,22;0,07;-0,09
  3056A;91554;SUDESTE;SP;-22,9044714;-50,0019012;392,2421;386,749;-5,49;-5,46;0,08;-0,03
  3113A;91584;SUDESTE;SP;-21,7134889;-50,7275925;440,306;433,609;-6,7;-6,66;0,06;-0,04
  3020E;91606;SUDESTE;SP;-23,7926242;-45,3586985;59,6983;54,984;-4,71;-4,5;0,08;-0,22
  3007T;91607;SUDESTE;SP;-23,5508467;-46,7315776;721,2766;718,139;-3,14;-3,14;0,07;0,01
  3018P;91608;SUDESTE;SP;-23,4114417;-45,593643;721,0226;717,506;-3,52;-3,69;0,06;0,18
  3307V;91610;SUDESTE;SP;-21,6251631;-47,0180133;585,4482;580,026;-5,42;-5,41;0,07;-0,02
  3007P;91612;SUDESTE;SP;-20,5819065;-47,3809555;1011,4015;1005,06;-6,34;-6,42;0,06;0,08
  3020R;91613;SUDESTE;SP;-21,2351641;-48,2863848;613,1835;605,96;-7,22;-7,24;0,06;0,02
  2988C;91615;SUDESTE;SP;-20,7846569;-49,3581848;528,0101;520,755;-7,26;-7,3;0,07;0,04
  3020M;91616;SUDESTE;SP;-21,7549189;-48,9927658;409,2159;402,352;-6,86;-6,96;0,07;0,09
  2388G;91617;SUDESTE;SP;-20,2524603;-50,1835142;435,4842;427,587;-7,9;-7,93;0,08;0,03
  2991U;91632;SUDESTE;SP;-23,2134838;-45,8605936;624,4169;621,063;-3,35;-3,37;0,06;0,01
  2991T;91634;SUDESTE;SP;-23,2127667;-45,859698;624,5631;621,215;-3,35;-3,37;0,06;0,02
  2992E;91635;SUDESTE;SP;-23,2225809;-45,8654884;625,3119;621,95;-3,36;-3,37;0,06;0
  2992D;91636;SUDESTE;SP;-23,234386;-45,8537701;646,4778;643,072;-3,41;-3,38;0,06;-0,02
  2992C;91637;SUDESTE;SP;-23,225769;-45,8631307;628,2421;624,871;-3,37;-3,37;0,06;0
  2992B;91638;SUDESTE;SP;-23,2193792;-45,872147;619,3509;615,99;-3,36;-3,36;0,06;0
  2993V;91666;SUDESTE;SP;-20,1543701;-47,2869208;644,9355;637,021;-7,91;-7,86;0,05;-0,05
  2988H;91668;SUDESTE;SP;-20,2613997;-47,3674521;1074,8373;1067,483;-7,35;-7,4;0,05;0,04
  3020B;91682;SUDESTE;SP;-22,6869607;-44,9842878;623,6579;620,276;-3,38;-3,39;0,06;0
  3023E;91683;SUDESTE;SP;-23,5293356;-48,0098634;750,2435;746,704;-3,54;-4,22;0,1;0,68
  3021N;91684;SUDESTE;SP;-24,4421562;-47,7829551;47,4481;44,257;-3,19;-3,2;0,07;0,01
  3020L;91685;SUDESTE;SP;-22,8047918;-48,4274363;751,2908;745,385;-5,91;-5,9;0,07;0
  2988Z;91689;SUDESTE;SP;-20,2417955;-47,3102734;685,5325;678,009;-7,52;-7,58;0,05;0,05
  2989B;91690;SUDESTE;SP;-20,2445144;-47,2713686;710,6806;703,128;-7,55;-7,58;0,05;0,03
  2810C;91711;SUDESTE;SP;-22,6754365;-45,0007562;556,7662;553,379;-3,39;-3,39;0,06;0
  3092T;91716;SUDESTE;SP;-25,0202393;-47,9249685;07,7641;06,055;-1,71;-1,7;0,08;-0,01
  3113T;91719;SUDESTE;SP;-21,5963944;-50,6014286;427,0931;420,202;-6,89;-6,84;0,06;-0,05
  3018V;91725;SUDESTE;SP;-22,6799845;-44,9911428;573,2414;569,855;-3,39;-3,39;0,06;0
  3020D;91726;SUDESTE;SP;-22,6916829;-44,9908086;648,7993;645,407;-3,39;-3,39;0,06;0
  3018X;91727;SUDESTE;SP;-22,6872269;-44,9851633;619,9806;616,596;-3,38;-3,39;0,06;0
  3018Z;91728;SUDESTE;SP;-22,6867011;-44,9847929;619,3382;615,951;-3,39;-3,39;0,06;0
  3087F;91742;SUDESTE;SP;-22,6873705;-44,9857946;619,3492;615,983;-3,37;-3,39;0,06;0,02
  9502B;91785;SUDESTE;SP;-20,0210633;-47,4357342;561,7112;553,153;-8,56;-8,43;0,06;-0,13
  3038T;91787;SUDESTE;SP;-20,0356026;-48,2229336;497,8106;488,657;-9,15;-9,03;0,06;-0,12
  3041U;91833;SUDESTE;SP;-20,2716257;-47,4545204;1052,148;1044,924;-7,22;-7,25;0,06;0,02
  2978E;91835;SUDESTE;SP;-20,6252754;-49,3528561;474,4983;467,051;-7,45;-7,42;0,07;-0,03
  2875N;91839;SUDESTE;SP;-22,9381794;-48,3927779;877,8093;872,222;-5,59;-5,55;0,06;-0,04
  2875R;91840;SUDESTE;SP;-22,9355632;-48,3593177;683,4289;677,741;-5,69;-5,58;0,07;-0,11
  2914R;91843;SUDESTE;SP;-21,8069298;-48,8385048;448,703;441,615;-7,09;-6,96;0,07;-0,12
  2914G;91844;SUDESTE;SP;-21,9392862;-48,801115;510,2552;503,277;-6,98;-6,95;0,07;-0,03
  3041S;91845;SUDESTE;SP;-20,2719653;-47,4553697;1050,542;1043,42;-7,12;-7,24;0,06;0,12
  4040F;91879;SUDESTE;SP;-20,5831466;-48,5974632;576,8294;568,859;-7,97;-7,94;0,06;-0,03
  3114D;91971;SUDESTE;SP;-21,5250232;-50,5516377;446,2828;439,377;-6,91;-6,97;0,06;0,06
  3114S;91972;SUDESTE;SP;-21,3975655;-50,4833494;461,3453;454,225;-7,12;-7,13;0,06;0,01
  3115F;91973;SUDESTE;SP;-21,3387062;-50,3999975;476,3396;469,095;-7,24;-7,19;0,06;-0,05
  3115T;91974;SUDESTE;SP;-21,2203796;-50,302928;404,5655;397,077;-7,49;-7,4;0,06;-0,09
  3116H;91975;SUDESTE;SP;-21,0569952;-50,200953;383,5347;375,857;-7,68;-7,65;0,07;-0,02
  3139E;92577;SUDESTE;SP;-22,1199909;-51,4089639;432,9665;427,682;-5,28;-5,32;0,06;0,03
  3108U;92578;SUDESTE;SP;-22,1281713;-51,4281761;434,3597;429,107;-5,25;-5,27;0,06;0,02
  3139C;92579;SUDESTE;SP;-22,1189359;-51,4084312;430,9201;425,611;-5,31;-5,32;0,06;0,01
  3109E;92580;SUDESTE;SP;-22,1200227;-51,4075957;430,7727;425,452;-5,32;-5,32;0,06;0
  3109F;92581;SUDESTE;SP;-22,125346;-51,4027152;427,9115;422,642;-5,27;-5,32;0,06;0,05
  3322T;92856;SUDESTE;SP;-21,4375693;-47,0096851;619,1088;613,738;-5,37;-5,31;0,06;-0,06
  9020G;93652;SUDESTE;SP;-22,6827554;-44,3220917;449,8091;445,725;-4,08;-4,2;0,06;0,11
  2964J;93681;SUDESTE;SP;-21,1854098;-49,583083;486,0421;478,75;-7,29;-7,25;0,07;-0,04
  2965J;93682;SUDESTE;SP;-21,0313645;-49,6469204;469,8903;462,61;-7,28;-7,32;0,07;0,04
  3139Z;93900;SUDESTE;SP;-22,1199047;-51,408534;436,3673;431,049;-5,32;-5,32;0,06;0
  4037Z;93901;SUDESTE;SP;-21,2410525;-48,2866494;575,5443;568,268;-7,28;-7,24;0,06;-0,03
  3124B;96110;SUDESTE;SP;-23,2134535;-45,8608179;624,4447;621,025;-3,42;-3,36;0,06;-0,06
  3112M;96157;SUDESTE;SP;-21,7916176;-50,7968389;490,348;483,797;-6,55;-6,53;0,06;-0,02
  3125R;96158;SUDESTE;SP;-21,8583693;-50,6893384;499,6409;493,155;-6,49;-6,48;0,06;0
  2882C;96285;SUDESTE;SP;-22,0105322;-47,4127514;657,4516;651,191;-6,26;-6,25;0,06;-0,01
  2910V;96287;SUDESTE;SP;-21,6891248;-48,0824053;704,5126;697,524;-6,99;-6,99;0,07;0
  2867S;96288;SUDESTE;SP;-22,2869041;-48,0025087;775,5456;769,005;-6,54;-6,55;0,07;0,01
  2887J;96289;SUDESTE;SP;-22,0373858;-47,8363162;935,6964;929,261;-6,44;-6,45;0,06;0,02
  2860F;96290;SUDESTE;SP;-22,3183631;-47,6587027;611,587;605,392;-6,19;-6,18;0,06;-0,02
  2886L;96291;SUDESTE;SP;-21,8603153;-47,521114;575,376;568,89;-6,49;-6,45;0,06;-0,03
  2872Z;96292;SUDESTE;SP;-22,4744208;-47,1330459;656,3536;651,038;-5,32;-5,3;0,07;-0,01
  2885G;96293;SUDESTE;SP;-22,2946693;-47,3931139;684,0032;678,063;-5,94;-5,98;0,06;0,04
  3062L;96294;SUDESTE;SP;-23,7062876;-48,4848289;655,0778;652,31;-2,77;-3,37;0,1;0,61
  2870U;96298;SUDESTE;SP;-22,8967123;-47,1882946;631,0179;626,297;-4,72;-4,73;0,08;0,01
  2115B;96299;SUDESTE;SP;-24,3186943;-48,6182685;839,1592;839,006;-0,15;-0,36;0,08;0,2
  2121J;96300;SUDESTE;SP;-24,7381318;-48,5133333;138,8997;138,666;-0,23;-0,29;0,08;0,05
  2124V;96301;SUDESTE;SP;-23,779101;-47,5101311;926,8351;923,986;-2,85;-3,45;0,09;0,6
  3021D;96302;SUDESTE;SP;-24,3595544;-47,6868589;21,7127;18,294;-3,42;-3,48;0,07;0,06
  2183H;96304;SUDESTE;SP;-20,6093896;-50,8098135;407,4772;399,572;-7,91;-7,88;0,08;-0,02
  2391B;96305;SUDESTE;SP;-20,7841318;-51,2115932;381,5158;374,256;-7,26;-7,26;0,08;0
  2393V;96306;SUDESTE;SP;-21,3808357;-51,6781356;347,174;341,224;-5,95;-5,97;0,07;0,02
  2396X;96307;SUDESTE;SP;-21,8945322;-51,8383588;374,1122;369,249;-4,86;-4,94;0,07;0,07
  2395E;96308;SUDESTE;SP;-21,4853677;-51,741837;363,1118;357,429;-5,68;-5,78;0,07;0,09
  3245B;96309;SUDESTE;SP;-22,5252621;-50,2887221;536,6942;530,553;-6,14;-6,05;0,08;-0,1
  3245Z;96310;SUDESTE;SP;-22,2653858;-49,9960893;643,1317;636,928;-6,2;-6,27;0,08;0,06
